t1_name,t1_youth,t1_sptnum_formula,t1_ra_today_formula,t1_dec_today_formula,data_release,dateobs,dec,instrument,ra,specid,specprimary,spectype,telescope,dist_arcsec
SDSS J154914.17+502235.8,N,10,237.3085,50.3763,SDSS-DR16,"[""2002-05-05 00:00:00"",""2002-05-05 00:00:00""]",50.376564,SDSS,237.30899,896243029285824512,0,STAR,sloan25m,1.4726943694384966
SDSS J154951.39+490450.1,N,10,237.4636,49.0809,BOSS-DR16,"[""2017-05-21 07:37:45"",""2017-05-21 07:37:45""]",49.080595,BOSS,237.4641,-8947372220731863040,1,STAR,sloan25m,1.611093650897047
2MASS J15500845+1455180,N,13,237.5358,14.9207,SDSS-DR16,"[""2007-05-23 00:00:00"",""2007-05-23 00:00:00""]",14.921404,SDSS,237.53543,2835029505632921600,1,STAR,sloan25m,2.842494735806441
SDSS J155120.86+432930.3,N,13,237.8372,43.4916,DESI-DR1,"[""2021-05-14 09:35:51.828"",""2021-05-14 09:35:51.828""]",43.4917,DESI,237.837,934729612263424,1,GALAXY,kp4m,0.6343823175262973
SDSS J155132.71+544201.2,N,10,237.8845,54.7007,SDSS-DR16,"[""2001-05-27 00:00:00"",""2001-05-27 00:00:00""]",54.700337,SDSS,237.88629,697003545085372416,1,STAR,sloan25m,3.946317486628251
2MASS J15515237+0941148,lowg,14,237.9679,9.6871,DESI-DR1,"[""2022-06-03 07:27:54.16"",""2022-06-03 07:27:54.16""]",9.687155670111013,DESI,237.9679144627255,39628023300886363,1,GALAXY,kp4m,0.2068797318945087
SDSS J155215.38+065041.5,N,10,238.064,6.845,SDSS-DR16,"[""2006-05-04 00:00:00"",""2006-05-04 00:00:00""]",6.8448802,SDSS,238.0641,1944464113354696704,1,STAR,sloan25m,0.5601442055987786
SDSS J155252.32-003501.9,N,10,238.2174,-0.5846,DESI-DR1,"[""2022-04-07 11:10:18.308"",""2022-04-07 11:10:18.308""]",-0.5839,DESI,238.218,2253177390891008,1,STAR,kp4m,3.3189629230974997
2MASSW J1552591+294849,lowg,10,238.245,29.8131,DESI-DR1,"[""2022-05-14 07:47:04.655"",""2022-05-14 07:47:04.655""]",29.81320383241446,DESI,238.2452971183159,39628476327660406,1,GALAXY,kp4m,1.0005117539426596
SDSS J155526.15+001720.6,N,10,238.8575,0.2887,DESI-DR1,"[""2021-06-10 06:01:14.709"",""2021-06-10 06:01:14.709""]",0.2887986087657375,DESI,238.857873022028,39627794774231719,1,GALAXY,kp4m,1.3889917284865105
SDSS J155644.35+172308.9,N,10,239.1847,17.3858,BOSS-DR16,"[""2010-05-10 08:38:52"",""2010-05-10 08:38:52""]",17.385812,BOSS,239.18481,4420555802521391104,1,STAR,sloan25m,0.380369649922307
2MASS J16005759+3021571,N,15,240.2395,30.366,DESI-DR1,"[""2022-02-21 13:04:50.262"",""2022-03-12 12:38:16.473""]",30.36603543010085,DESI,240.2396499025621,39628486834391576,1,GALAXY,kp4m,0.4827706600095778
SDSS J160140.86+215945.4,N,11,240.4197,21.9966,SDSS-DR16,"[""2006-05-17 00:00:00"",""2006-05-17 00:00:00""]",21.995945,SDSS,240.42029,2446702608354666496,1,STAR,sloan25m,3.072240554049431
SDSS J160510.15+042152.1,N,10,241.2922,4.3643,SDSS-DR16,"[""2005-05-03 00:00:00"",""2005-05-03 00:00:00""]",4.3644776,SDSS,241.29231,2068296054553470976,0,STAR,sloan25m,0.7514579639333405
HIP 78923B,N,8,241.66,34.1059,DESI-DR1,"[""2022-05-23 07:38:54.205"",""2022-05-23 07:38:54.205""]",34.10563850607361,DESI,241.6604928710793,39632961741524873,1,GALAXY,kp4m,1.7448825369685137
SDSS J160743.08+345947.4,N,10,241.9295,34.9967,BOSS-DR16,"[""2011-06-09 07:37:22"",""2011-06-09 07:37:22""]",34.996626,BOSS,241.92949,5590357566003892224,0,STAR,sloan25m,0.2680273493078705
SDSS J161106.31+002547.0,N,10,242.7763,0.4294,SDSS-DR16,"[""2000-05-09 00:00:00"",""2000-05-09 00:00:00""]",0.42971656,SDSS,242.77634,388573759801419776,1,STAR,sloan25m,1.1486772662327345
SDSS J161312.06+472918.2,N,10,243.2997,47.4883,BOSS-DR16,"[""2017-05-20 09:53:07"",""2017-05-20 09:53:07""]",47.488403,BOSS,243.30024,9074778395481755648,0,STAR,sloan25m,1.3649686236022525
SDSS J161349.44+134608.6,N,10,243.4558,13.7693,SDSS-DR16,"[""2008-04-12 00:00:00"",""2008-04-12 00:00:00""]",13.769059,SDSS,243.45602,2845288504345257984,1,STAR,sloan25m,1.1595083976034957
SDSS J161420.50+004643.6,N,12,243.5847,0.7782,SDSS-DR16,"[""2000-05-29 00:00:00"",""2000-05-29 00:00:00""]",0.7787738,SDSS,243.5854,389669423188830208,1,STAR,sloan25m,3.2582605146455097
2MASS J16154245+0546400,N,9,243.9277,5.7772,DESI-DR1,"[""2021-06-10 06:26:55.328"",""2021-06-10 06:26:55.328""]",5.7778,DESI,243.9269,2376473633619968,1,STAR,kp4m,3.5883071459457807
2MASS J16154255+4953211,lowg,14,243.9267,49.8894,BOSS-DR16,"[""2013-07-09 06:50:50"",""2013-07-09 06:50:50""]",49.889246,BOSS,243.92727,7111244118647656448,1,GALAXY,sloan25m,1.4335737459536162
SDSS J161611.36+521328.0,N,10,244.047,52.2246,SDSS-DR16,"[""2001-05-22 00:00:00"",""2001-05-22 00:00:00""]",52.224449,SDSS,244.04735,701570091669547008,1,STAR,sloan25m,0.9440512716661801
WISEPA J161705.75+180714.3,N,28,244.2744,18.1204,DESI-DR1,"[""2022-06-04 07:58:36.263"",""2022-06-04 07:58:36.263""]",18.1206,DESI,244.2739,2253617683759104,1,GALAXY,kp4m,1.8560686175244543
SDSS J161731.65+401859.7,N,14,244.3815,40.3159,BOSS-DR16,"[""2018-05-06 06:04:42"",""2018-05-06 06:04:42""]",40.316592,BOSS,244.38181,-6365654591411564544,1,GALAXY,sloan25m,2.6325205927375173
SDSS J161840.27+202045.6,N,10,244.6675,20.3459,SDSS-DR16,"[""2005-07-15 00:00:00"",""2005-07-15 00:00:00""]",20.346025,SDSS,244.6678,2086327496701143040,0,STAR,sloan25m,1.1081053825295977
SDSS J161928.31+005011.9,N,12,244.8683,0.8361,DESI-DR1,"[""2022-03-08 12:45:37.485"",""2022-03-09 12:41:37.736""]",0.8362361142834408,DESI,244.8681898929189,39627806954491402,1,GALAXY,kp4m,0.6302374066610391
SDSS J162124.66+274702.7,N,11,245.3526,27.7841,SDSS-DR16,"[""2003-07-02 00:00:00"",""2003-07-02 00:00:00""]",27.784104,SDSS,245.35276,1585361674179733504,1,STAR,sloan25m,0.5097965777478103
SDSS J162208.04+454813.1,N,10,245.5339,45.8037,BOSS-DR16,"[""2012-06-21 06:53:21"",""2012-06-21 06:53:21""]",45.803628,BOSS,245.53351,6788274391296004096,1,STAR,sloan25m,1.0124953539401853
2MASS J16231308+3950419,N,13,245.8049,39.8454,BOSS-DR16,"[""2018-05-06 06:04:42"",""2018-05-06 06:04:42""]",39.845083,BOSS,245.80481,-6365583672911572992,1,STAR,sloan25m,1.1679978546283776
SDSS J162321.84+153039.2,N,10,245.8409,15.5108,BOSS-DR16,"[""2011-04-27 10:12:33"",""2011-04-27 10:12:33""]",15.510853,BOSS,245.84094,4587191193662935040,1,STAR,sloan25m,0.2359189095497911
SDSS J162559.01+334705.5,N,10,246.496,33.7842,BOSS-DR16,"[""2011-07-08 05:58:32"",""2011-07-08 05:58:32""]",33.784589,BOSS,246.4959,5579039193794105344,1,STAR,sloan25m,1.4320077346458642
SDSS J162603.03+211313.0,N,13,246.513,21.2196,SDSS-DR16,"[""2004-08-23 00:00:00"",""2004-08-23 00:00:00""]",21.220241,SDSS,246.51264,1866775360130017280,1,STAR,sloan25m,2.604725041747014
SDSS J162834.35+242847.2,N,11,247.1434,24.4793,SDSS-DR16,"[""2005-04-15 00:00:00"",""2005-04-15 00:00:00""]",24.479795,SDSS,247.14315,1772172284123965440,1,STAR,sloan25m,1.9612358491951738
SDSS J162838.35+625945.7,N,10,247.1604,62.9959,SDSS-DR16,"[""2007-04-08 00:00:00"",""2007-04-08 00:00:00""]",62.995974,SDSS,247.15985,2882444569553692672,1,STAR,sloan25m,0.9376658423080086
SDSS J163030.53+434404.0,N,17,247.6261,43.7345,DESI-EDR,"[""2021-04-18 11:04:28.023"",""2021-04-18 11:04:28.023""]",43.73445742639022,DESI,247.6263980755958,39633145368150493,1,GALAXY,kp4m,0.7903525896201975
2MASS J16304139+0938446,N,10,247.6721,9.6453,DESI-DR1,"[""2022-05-01 09:14:06.099"",""2022-05-01 09:14:06.099""]",9.645434099506755,DESI,247.6721636213859,39628023460271267,1,GALAXY,kp4m,0.5329547860608395
